🕘️更新时间,#genre#
2025-11-29 22:15:17,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/.m3u8

📺央视频道,#genre#
CCTV-1,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/.m3u8
CCTV-1,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226432/.m3u8
CCTV-1,http://112.6.239.227:8207/hls/1/index.m3u8
CCTV-1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://sh.lnott.top:880/dx01.m3u8
CCTV-1,http://183.220.107.138:4022/rtp/239.11.0.130:5140
CCTV-1,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://ygbh.site/php/bfgd.php?id=201
CCTV-1,http://ygbh.site/php/bfgd.php?id=484
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-2,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226371/.m3u8
CCTV-2,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226990/.m3u8
CCTV-2,http://112.6.239.227:8207/hls/2/index.m3u8
CCTV-2,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226911/.m3u8
CCTV-2,http://sh.lnott.top:880/dx02.m3u8
CCTV-2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
CCTV-2,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/.m3u8
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-3,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/.m3u8
CCTV-3,http://60.13.52.236:65500/newlive/live/hls/3/live.m3u8
CCTV-3,http://124.238.251.36:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/.m3u8
CCTV-3,http://sh.lnott.top:880/dx03.m3u8
CCTV-3,http://112.6.239.227:8207/hls/3/index.m3u8
CCTV-3,http://111.221.137.155:44330/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
